School_Name	School_Year	Reported_enrollment	Percent_complete_for_all_immunizations	Percent_conditional	Percent_out_of_compliance	Percent_with_any_exemption	Percent_with_medical_exemption	Percent_with_personal_exemption	Percent_with_religious_exemption	Percent_with_religious_membership_exemption	Percent_complete_for_diphtheria_tetanus	Percent_complete_for_pertussis	Percent_complete_for_measles_mumps_rubella	Percent_complete_for_polio	Percent_complete_for_HepatitisB	Percent_complete_for_varicella	Number_complete_for_all_immunizations	Number_conditional	Number_out_of_compliance	Number_with_any_exemption	Number_with_medical_exemption	Number_with_personal_exemption	Number_with_religious_exemption	Number_with_religious_membership_exemption	Number_incomplete_for_diphtheria_tetanus	Number_incomplete_for_pertussis	Number_incomplete_for_measles_mumps_rubella	Number_incomplete_for_polio	Number_incomplete_for_HepatitisB	Number_incomplete_for_varicella	Reported	School_Type	School_District	Address	City	County	ESD	Grade_Levels	Has_kindergarten	Has_6thGrade
MARY PURCELL ELEMENTARY SCHOOL	2015-16	48	93.8%	0%	0%	6.3%	2.1%	4.2%	0%	0%	95.8%	95.8%	97.9%	97.9%	97.9%	95.8%	45	0	0	3	1	2	0	0	2	2	1	1	1	2	Y	PUBLIC SCHOOL	SEDRO-WOOLLEY SCHOOL DISTRICT	700 BENNETT STREET	SEDRO-WOOLLEY	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
MARYSVILLE MIDDLE SCHOOL	2015-16	263	72.2%	0%	25.1%	2.7%	1.1%	1.5%	0%	0%	74.1%	74.5%	97.7%	97.7%	97.7%	95.1%	190	0	66	7	3	4	0	0	68	67	6	6	6	13	Y	PUBLIC SCHOOL	MARYSVILLE SCHOOL DISTRICT	4923 67TH ST NE	MARYSVILLE	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
MASON	2015-16	280	96.1%	0%	1.1%	2.9%	0.4%	2.5%	0%	0%	99.3%	99.6%	97.9%	98.6%	98.2%	97.5%	269	0	3	8	1	7	0	0	2	1	6	4	5	7	Y	PUBLIC SCHOOL	TACOMA SCHOOL DISTRICT	3901 N 28TH ST	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
MASON COUNTY CHRISTIAN SCHOOL	2015-16	7	0%	85.7%	0%	14.3%	0%	14.3%	0%	0%	0%	85.7%	85.7%	85.7%	85.7%	85.7%	0	6	0	1	0	1	0	0	7	1	1	1	1	1	Y	PRIVATE SCHOOL	SHELTON SCHOOL DISTRICT	470 E EAGLE RIDGE DR	SHELTON	MASON	EDUCATIONAL SERVICE DISTRICT 113	P-8	Y	Y
MAYWOOD HILLS ELEMENTARY	2015-16	76	94.7%	0%	0%	5.3%	0%	3.9%	1.3%	0%	97.4%	97.4%	98.7%	97.4%	97.4%	96.1%	72	0	0	4	0	3	1	0	2	2	1	2	2	3	Y	PUBLIC SCHOOL	NORTHSHORE SCHOOL DISTRICT	19510 104 AV NE	BOTHELL	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
MAYWOOD MIDDLE SCHOOL	2015-16	370	96.8%	0%	0%	3.2%	0.3%	3%	0%	0%	98.4%	98.9%	98.6%	98.6%	98.1%	97.8%	358	0	0	12	1	11	0	0	6	4	5	5	7	8	Y	PUBLIC SCHOOL	ISSAQUAH SCHOOL DISTRICT	14490 168TH AVE SE	RENTON	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
MCALDER ELEMENTARY - CASCADE CHRISTIAN SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	SUMNER SCHOOL DISTRICT	15502 96TH ST E	PUYALLUP	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-6	Y	Y
MCCLEARY ELEM	2015-16	30	13.3%	0%	80%	6.7%	0%	6.7%	0%	0%	16.7%	16.7%	90%	90%	90%	80%	4	0	24	2	0	2	0	0	25	25	3	3	3	6	Y	PUBLIC SCHOOL	MCCLEARY SCHOOL DISTRICT	611 S. MAIN ST.	MCCLEARY	GRAYS HARBOR	EDUCATIONAL SERVICE DISTRICT 113	PK-8	Y	Y
MCCLURE MIDDLE SCHOOL	2015-16	179	78.8%	0.6%	15.6%	5%	3.4%	2.8%	0%	0%	87.2%	87.2%	96.1%	93.9%	92.7%	91.6%	141	1	28	9	6	5	0	0	23	23	7	11	13	15	Y	PUBLIC SCHOOL	SEATTLE PUBLIC SCHOOLS	1915 1 AV W	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
MCDERMOTH ELEMENTARY	2015-16	46	60.9%	37%	0%	2.2%	0%	2.2%	0%	0%	65.2%	65.2%	97.8%	100%	100%	100%	28	17	0	1	0	1	0	0	16	16	1	0	0	0	Y	PUBLIC SCHOOL	ABERDEEN SCHOOL DISTRICT	409 NORTH K ST	ABERDEEN	GRAYS HARBOR	EDUCATIONAL SERVICE DISTRICT 113	K -6	Y	Y
MCFARLAND MIDDLE SCHOOL	2015-16	300	80.7%	0%	18%	1.3%	0%	1.3%	0%	0%	81.7%	82%	99.3%	99.3%	99%	98.7%	242	0	54	4	0	4	0	0	55	54	2	2	3	4	Y	PUBLIC SCHOOL	OTHELLO SCHOOL DISTRICT	790 S 10TH AVE	OTHELLO	ADAMS	EDUCATIONAL SERVICE DISTRICT 123	6-8	N	Y
MCKENNA ELEMENTARY	2015-16	63	31.7%	0%	58.7%	9.5%	0%	9.5%	0%	0%	33.3%	33.3%	88.9%	92.1%	92.1%	88.9%	20	0	37	6	0	6	0	0	42	42	7	5	5	7	Y	PUBLIC SCHOOL	YELM SCHOOL DISTRICT	PO BOX 476	YELM	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	K -6	Y	Y
MCKNIGHT MIDDLE SCHOOL	2015-16	436	96.8%	0.5%	0%	2.8%	0.7%	1.8%	0.2%	0%	97.9%	98.6%	97.9%	98.2%	98.2%	97.9%	422	2	0	12	3	8	1	0	9	6	9	8	8	9	Y	PUBLIC SCHOOL	RENTON SCHOOL DISTRICT	1200 EDMONDS AVE NE	RENTON	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
MCLOUGHLIN MIDDLE SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	PASCO SCHOOL DISTRICT	2803 N ROAD 88	PASCO	FRANKLIN	EDUCATIONAL SERVICE DISTRICT 123	6-8	N	Y
MCLOUGHLIN MIDDLE SCHOOL	2015-16	339	87.3%	0.3%	8.8%	3.5%	0.3%	2.4%	0.3%	0.6%	89.1%	89.7%	97.3%	97.1%	97.3%	95.3%	296	1	30	12	1	8	1	2	37	35	9	10	9	16	Y	PUBLIC SCHOOL	VANCOUVER SCHOOL DISTRICT	5802 MACARTHUR BLVD	VANCOUVER	CLARK	EDUCATIONAL SERVICE DISTRICT 112	6-8	N	Y
MCMICKEN HEIGHTS ELEMENTARY	2015-16	55	80%	0%	20%	0%	0%	0%	0%	0%	90.9%	90.9%	94.5%	80%	89.1%	94.5%	44	0	11	0	0	0	0	0	5	5	3	11	6	3	Y	PUBLIC SCHOOL	HIGHLINE SCHOOL DISTRICT	3708 S 168TH ST	SEATAC	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-6	Y	Y
MCMURRAY MIDDLE SCHOOL	2015-16	107	60.7%	0%	18.7%	20.6%	0%	20.6%	0%	0%	73.8%	76.6%	86.9%	86.9%	80.4%	81.3%	65	0	20	22	0	22	0	0	28	25	14	14	21	20	Y	PUBLIC SCHOOL	VASHON ISLAND SCHOOL DISTRICT	9329 SW CEMETERY RD	VASHON	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
MEADOW RIDGE ELEMENTARY	2015-16	121	81.8%	0%	12.4%	5.8%	0%	5.8%	0%	0%	87.6%	87.6%	95.9%	96.7%	96.7%	90.9%	99	0	15	7	0	7	0	0	15	15	5	4	4	11	Y	PUBLIC SCHOOL	MEAD SCHOOL DISTRICT	15601 N FREYA ST	MEAD	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	K -6	Y	Y
MEADOW RIDGE ELEMENTARY SCHOOL	2015-16	82	67.1%	2.4%	26.8%	3.7%	1.2%	2.4%	0%	0%	67.1%	69.5%	95.1%	93.9%	96.3%	95.1%	55	2	22	3	1	2	0	0	27	25	4	5	3	4	Y	PUBLIC SCHOOL	KENT SCHOOL DISTRICT	27710 108TH AVE SE	KENT	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
MEADOWDALE ELEMENTARY SCHOOL	2015-16	74	95.9%	0%	0%	4.1%	0%	4.1%	0%	0%	97.3%	97.3%	97.3%	97.3%	97.3%	95.9%	71	0	0	3	0	3	0	0	2	2	2	2	2	3	Y	PUBLIC SCHOOL	EDMONDS SCHOOL DISTRICT	6505 168TH ST SW	LYNNWOOD	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
MEADOWGLADE SDA SCHOOL	2015-16	41	90.2%	0%	0%	9.8%	0%	9.8%	0%	0%	95.1%	95.1%	95.1%	95.1%	95.1%	90.2%	37	0	0	4	0	4	0	0	2	2	2	2	2	4	Y	PRIVATE SCHOOL	BATTLE GROUND SCHOOL DISTRICT	18717 NE 109TH AVE	BATTLE GROUND	CLARK	EDUCATIONAL SERVICE DISTRICT 112	K-8	Y	Y
MEADOWS ELEMENTARY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	NORTH THURSTON PUBLIC SCHOOLS	836 DEERBRUSH DR SE	LACEY	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	K -6	Y	Y
MEDICAL LAKE MIDDLE SCHOOL	2015-16	117	68.4%	0%	23.9%	7.7%	5.1%	2.6%	0%	0%	70.1%	70.1%	95.7%	96.6%	96.6%	91.5%	80	0	28	9	6	3	0	0	35	35	5	4	4	10	Y	PUBLIC SCHOOL	MEDICAL LAKE SCHOOL DISTRICT	PO BOX 128	MEDICAL LAKE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	6-8	N	Y
MEDINA ACADEMY	2015-16	5	20%	80%	0%	0%	0%	0%	0%	0%	20%	100%	100%	100%	100%	100%	1	4	0	0	0	0	0	0	4	0	0	0	0	0	Y	PRIVATE SCHOOL	LAKE WASHINGTON SCHOOL DISTRICT	16600 NE 80TH ST	REDMOND	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-7	Y	Y
MEEKER ELEMENTARY	2015-16	76	88.2%	0%	1.3%	10.5%	3.9%	6.6%	0%	0%	96.1%	96.1%	93.4%	94.7%	94.7%	90.8%	67	0	1	8	3	5	0	0	3	3	5	4	4	7	Y	PUBLIC SCHOOL	PUYALLUP SCHOOL DISTRICT	409 5TH ST SW	PUYALLUP	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
MEEKER MIDDLE SCHOOL	2015-16	220	95%	0%	0.5%	4.5%	0.5%	4.1%	0%	0%	97.7%	97.3%	98.2%	97.7%	97.7%	96.8%	209	0	1	10	1	9	0	0	5	6	4	5	5	7	Y	PUBLIC SCHOOL	TACOMA SCHOOL DISTRICT	4402 NASSAU AVE NE	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
MELVIN G SYRE ELEMENTARY	2015-16	84	94%	0%	0%	6%	1.2%	3.6%	1.2%	0%	98.8%	98.8%	96.4%	97.6%	96.4%	95.2%	79	0	0	5	1	3	1	0	1	1	3	2	3	4	Y	PUBLIC SCHOOL	SHORELINE SCHOOL DISTRICT	19545 12TH AVENUE N.W.	SHORELINE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
MERCER MIDDLE SCHOOL	2015-16	371	87.3%	0%	6.5%	6.2%	3.8%	2.2%	0.5%	0.3%	94.1%	94.1%	97.8%	98.4%	97.3%	93.8%	324	0	24	23	14	8	2	1	22	22	8	6	10	23	Y	PUBLIC SCHOOL	SEATTLE PUBLIC SCHOOLS	1600 S COLUMBIAN WY	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
MERIDIAN ELEMENTARY SCHOOL	2015-16	85	94.1%	0%	5.9%	0%	0%	0%	0%	0%	94.1%	94.1%	98.8%	98.8%	98.8%	98.8%	80	0	5	0	0	0	0	0	5	5	1	1	1	1	Y	PUBLIC SCHOOL	KENT SCHOOL DISTRICT	25621 140TH AVE SE	KENT	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
MERIDIAN MIDDLE SCHOOL	2015-16	90	74.4%	1.1%	16.7%	7.8%	3.3%	3.3%	1.1%	0%	82.2%	83.3%	94.4%	92.2%	92.2%	91.1%	67	1	15	7	3	3	1	0	16	15	5	7	7	8	Y	PUBLIC SCHOOL	MERIDIAN SCHOOL DISTRICT	861 TEN MILE ROAD	LYNDEN	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
MERIDIAN PARK ELEMENTARY SCHOOL	2015-16	94	88.3%	0%	1.1%	10.6%	1.1%	9.6%	0%	0%	95.7%	95.7%	93.6%	96.8%	93.6%	94.7%	83	0	1	10	1	9	0	0	4	4	6	3	6	5	Y	PUBLIC SCHOOL	SHORELINE SCHOOL DISTRICT	17077 MERIDIAN AVENUE N.	SHORELINE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
MERIT SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	FEDERAL WAY SCHOOL DISTRICT	36001 1ST AV S	FEDERAL WAY	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-12	N	Y
MESA ELEMENTARY	2015-16	28	85.7%	0%	10.7%	3.6%	0%	3.6%	0%	0%	92.9%	92.9%	100%	100%	96.4%	92.9%	24	0	3	1	0	1	0	0	2	2	0	0	1	2	Y	PUBLIC SCHOOL	NORTH FRANKLIN SCHOOL DISTRICT	600 W PEPIOT	MESA	FRANKLIN	EDUCATIONAL SERVICE DISTRICT 123	K -6	Y	Y
METHOW VALLEY COMMUNITY SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	METHOW VALLEY SCHOOL DISTRICT	31 WES CHEWUCH ROAD	WINTHROP	OKANOGAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	1-8	N	Y
METHOW VALLEY ELEMENTARY	2015-16	54	24.1%	0%	50%	25.9%	1.9%	22.2%	1.9%	0%	40.7%	42.6%	88.9%	81.5%	79.6%	83.3%	13	0	27	14	1	12	1	0	32	31	6	10	11	9	Y	PUBLIC SCHOOL	METHOW VALLEY SCHOOL DISTRICT	18 TWIN LAKES RD.	WINTHROP	OKANOGAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	PK-6	Y	Y
MICHAEL T SIMMONS ELEMENTARY	2015-16	95	90.5%	0%	5.3%	4.2%	0%	4.2%	0%	0%	93.7%	93.7%	97.9%	97.9%	97.9%	95.8%	86	0	5	4	0	4	0	0	6	6	2	2	2	4	Y	PUBLIC SCHOOL	TUMWATER SCHOOL DISTRICT	1205 S 2ND AVENUE	TUMWATER	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	K -6	Y	Y
MIDDLE SCHOOL OPTIONS	2015-16	10	10%	0%	0%	90%	0%	80%	10%	0%	60%	60%	60%	40%	50%	30%	1	0	0	9	0	8	1	0	4	4	4	6	5	7	Y	PUBLIC SCHOOL	NORTH KITSAP SCHOOL DISTRICT	26331 BARBER CUT OFF ROAD NE	KINGSTON	KITSAP	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	6-8	N	Y
MIDWAY ELEMENTARY	2015-16																														N	PUBLIC SCHOOL	HIGHLINE SCHOOL DISTRICT	22447 24TH AVE S	DES MOINES	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-6	Y	Y
MIDWAY ELEMENTARY	2015-16	60	93.3%	0%	3.3%	3.3%	0%	3.3%	0%	0%	98.3%	98.3%	100%	100%	100%	95%	56	0	2	2	0	2	0	0	1	1	0	0	0	3	Y	PUBLIC SCHOOL	MEAD SCHOOL DISTRICT	821 E MIDWAY RD	COLBERT	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	K -6	Y	Y
MIDWAY ELEMENTARY (MLC/DISCOVER)	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	MOSES LAKE SCHOOL DISTRICT	502 SOUTH C ST	MOSES LAKE	GRANT	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	PK-6	Y	Y
MILL POND ELEMENTARY SCHOOL	2015-16	80	25%	0%	73.8%	1.3%	1.3%	0%	0%	0%	25%	25%	91.3%	95%	93.8%	91.3%	20	0	59	1	1	0	0	0	60	60	7	4	5	7	Y	PUBLIC SCHOOL	YELM SCHOOL DISTRICT	PO BOX 476	YELM	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	PK-6	Y	Y
MILLENNIUM ELEMENTARY SCHOOL	2015-16	77	77.9%	0%	19.5%	2.6%	1.3%	1.3%	0%	0%	77.9%	77.9%	98.7%	98.7%	97.4%	98.7%	60	0	15	2	1	1	0	0	17	17	1	1	2	1	Y	PUBLIC SCHOOL	KENT SCHOOL DISTRICT	11919 SE 270TH ST	KENT	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
MISSION CREEK CHRISTIAN EDUCATION CENTER	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	SOUTH BEND SCHOOL DISTRICT	51 HAROLD YOUNG RD	SOUTH BEND	PACIFIC	EDUCATIONAL SERVICE DISTRICT 113	6-12	N	Y
MMSC DAY SCHOOL	2015-16	5	60%	20%	20%	0%	0%	0%	0%	0%	80%	80%	80%	80%	80%	60%	3	1	1	0	0	0	0	0	1	1	1	1	1	2	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	8511 15TH AVENUE NE	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-12	Y	Y
MONARCH ACADEMY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	CLARKSTON SCHOOL DISTRICT	1465 POPLAR STREET	CLARKSTON	ASOTIN	EDUCATIONAL SERVICE DISTRICT 123	K-6	Y	Y
MONROE CHRISTIAN SCHOOL	2015-16	15	46.7%	13.3%	26.7%	13.3%	6.7%	6.7%	0%	0%	46.7%	46.7%	86.7%	93.3%	93.3%	86.7%	7	2	4	2	1	1	0	0	8	8	2	1	1	2	Y	PRIVATE SCHOOL	MONROE SCHOOL DISTRICT	1009 W MAIN ST	MONROE	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
MONTE CRISTO ELEMENTARY	2015-16	18	88.9%	0%	0%	11.1%	0%	11.1%	0%	0%	88.9%	88.9%	94.4%	88.9%	94.4%	94.4%	16	0	0	2	0	2	0	0	2	2	1	2	1	1	Y	PUBLIC SCHOOL	GRANITE FALLS SCHOOL DISTRICT	1201 100TH ST NE	GRANITE FALLS	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
MONTESSORI AT SAMISH WOODS	2015-16	6	66.7%	0%	0%	33.3%	0%	33.3%	0%	0%	83.3%	83.3%	83.3%	83.3%	83.3%	66.7%	4	0	0	2	0	2	0	0	1	1	1	1	1	2	Y	PRIVATE SCHOOL	BELLINGHAM SCHOOL DISTRICT	1027 SAMISH WAY	BELLINGHAM	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-6	Y	Y
MONTESSORI CHILDREN'S HOUSE	2015-16																														N	PRIVATE SCHOOL	LAKE WASHINGTON SCHOOL DISTRICT	5003 218TH AVE NE	REDMOND	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-6	Y	Y
MONTESSORI SCHOOLS OF SNOHOMISH CO.	2015-16	2	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	EVERETT SCHOOL DISTRICT	1804 PUGET DR	EVERETT	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-12	Y	Y
MONTICELLO MIDDLE SCHOOL	2015-16	163	89%	0%	9.8%	1.2%	0.6%	0.6%	0%	0%	90.2%	89%	99.4%	99.4%	98.8%	99.4%	145	0	16	2	1	1	0	0	16	18	1	1	2	1	Y	PUBLIC SCHOOL	LONGVIEW SCHOOL DISTRICT	1225 28TH AVENUE	LONGVIEW	COWLITZ	EDUCATIONAL SERVICE DISTRICT 112	6-8	N	Y
MONUMENT ELEMENTARY	2015-16	193	76.7%	0.5%	22.3%	0.5%	0.5%	0%	0%	0%	78.2%	78.2%	99.5%	99.5%	99%	96.9%	148	1	43	1	1	0	0	0	42	42	1	1	2	6	Y	PUBLIC SCHOOL	QUINCY SCHOOL DISTRICT	1400 13TH AVENUE SW	QUINCY	GRANT	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	4-6	N	Y
MOORLANDS ELEMENTARY	2015-16	81	93.8%	0%	1.2%	4.9%	1.2%	3.7%	0%	0%	98.8%	98.8%	98.8%	97.5%	95.1%	96.3%	76	0	1	4	1	3	0	0	1	1	1	2	4	3	Y	PUBLIC SCHOOL	NORTHSHORE SCHOOL DISTRICT	15115 84 AV NE	KENMORE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
MORAN PRAIRIE ELEMENTARY	2015-16	64	93.8%	0%	0%	6.3%	0%	6.3%	0%	0%	100%	100%	98.4%	98.4%	95.3%	96.9%	60	0	0	4	0	4	0	0	0	0	1	1	3	2	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	4224 E 57TH AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
MORGAN MIDDLE SCHOOL	2015-16	256	72.3%	0%	24.2%	3.5%	0.4%	3.1%	0%	0%	74.2%	75%	97.3%	97.7%	96.9%	96.9%	185	0	62	9	1	8	0	0	66	64	7	6	8	8	Y	PUBLIC SCHOOL	ELLENSBURG SCHOOL DISTRICT	400 E FIRST	ELLENSBURG	KITTITAS	EDUCATIONAL SERVICE DISTRICT 105	6-8	N	Y
MORNINGSIDE ACADEMY	2015-16	16	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	16	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	201 WESTLAKE AVE N	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	1-10	N	Y
MORRIS FORD MIDDLE SCHOOL	2015-16	307	80.5%	0%	18.2%	1.3%	0%	1.3%	0%	0%	91.9%	92.5%	91.2%	94.8%	92.2%	91.2%	247	0	56	4	0	4	0	0	25	23	27	16	24	27	Y	PUBLIC SCHOOL	FRANKLIN PIERCE SCHOOL DISTRICT	1602 104TH STREET EAST	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
MORTON ELEMENTARY SCHOOL	2015-16	25	20%	0%	68%	12%	0%	8%	0%	4%	20%	20%	88%	92%	92%	88%	5	0	17	3	0	2	0	1	20	20	3	2	2	3	Y	PUBLIC SCHOOL	MORTON SCHOOL DISTRICT	PO BOX L	MORTON	LEWIS	EDUCATIONAL SERVICE DISTRICT 113	PK-6	Y	Y
MOSES LAKE CHRISTIAN ACADEMY	2015-16	13	84.6%	0%	7.7%	7.7%	0%	7.7%	0%	0%	92.3%	92.3%	92.3%	92.3%	84.6%	84.6%	11	0	1	1	0	1	0	0	1	1	1	1	2	2	Y	PRIVATE SCHOOL	MOSES LAKE SCHOOL DISTRICT	1475 NELSON ROAD NE	MOSES LAKE	GRANT	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	P-12	Y	Y
MOSSYROCK ACADEMY	2015-16																														N	PUBLIC SCHOOL	MOSSYROCK SCHOOL DISTRICT	P.O. BOX 478	MOSSYROCK	LEWIS	EDUCATIONAL SERVICE DISTRICT 113	K -12	Y	Y
MOSSYROCK ELEMENTARY SCHOOL	2015-16	41	75.6%	0%	22%	2.4%	0%	2.4%	0%	0%	75.6%	75.6%	97.6%	97.6%	97.6%	97.6%	31	0	9	1	0	1	0	0	10	10	1	1	1	1	Y	PUBLIC SCHOOL	MOSSYROCK SCHOOL DISTRICT	P O BOX 455	MOSSYROCK	LEWIS	EDUCATIONAL SERVICE DISTRICT 113	K -6	Y	Y
MOUNT BAKER ACADEMY	2015-16	3	33.3%	0%	66.7%	0%	0%	0%	0%	0%	33.3%	33.3%	66.7%	66.7%	66.7%	66.7%	1	0	2	0	0	0	0	0	2	2	1	1	1	1	Y	PUBLIC SCHOOL	MOUNT BAKER SCHOOL DISTRICT	PO BOX 9	ACME	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -12	Y	Y
MOUNT ERIE ELEMENTARY	2015-16	75	72%	18.7%	0%	9.3%	1.3%	5.3%	1.3%	1.3%	73.3%	73.3%	90.7%	90.7%	90.7%	90.7%	54	14	0	7	1	4	1	1	20	20	7	7	7	7	Y	PUBLIC SCHOOL	ANACORTES SCHOOL DISTRICT	1313 41ST STREET	ANACORTES	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
MOUNT PLEASANT ELEMENTARY SCHOOL	2015-16	4	50%	0%	25%	25%	0%	25%	0%	0%	50%	50%	75%	75%	75%	75%	2	0	1	1	0	1	0	0	2	2	1	1	1	1	Y	PUBLIC SCHOOL	MOUNT PLEASANT SCHOOL DISTRICT	152 MARBLE RD.	WASHOUGAL	CLARK	EDUCATIONAL SERVICE DISTRICT 112	K -6	Y	Y
MOUNT VERNON CHRISTIAN SCHOOL	2015-16	19	63.2%	0%	21.1%	15.8%	0%	15.8%	0%	0%	78.9%	63.2%	89.5%	84.2%	94.7%	84.2%	12	0	4	3	0	3	0	0	4	7	2	3	1	3	Y	PRIVATE SCHOOL	MOUNT VERNON SCHOOL DISTRICT	820 W BLACKBURN RD	MOUNT VERNON	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-12	Y	Y
